City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Nizhneangarsk,RU,55.7833,109.55,3.79,96,100,1.52,overcast clouds
223,Khatanga,RU,71.9667,102.5,-24.05,96,99,3.36,overcast clouds
224,Jacareacanga,BR,-6.2222,-57.7528,77.72,94,86,0.78,overcast clouds
225,Ambilobe,MG,-13.2,49.05,72.95,95,95,4.25,light rain
226,Kieta,PG,-6.2167,155.6333,83.39,77,85,7.72,overcast clouds
227,Luderitz,NA,-26.6481,15.1594,67.28,81,95,5.12,overcast clouds
228,Coquimbo,CL,-29.9533,-71.3436,65.93,77,75,11.5,broken clouds
229,Seoul,KR,37.5683,126.9778,22.44,62,16,2.24,few clouds
230,Turukhansk,RU,65.8167,87.9833,-18.08,100,65,1.19,broken clouds
231,Nangomba,TZ,-10.9,38.5,71.58,81,96,2.21,overcast clouds
232,Constitucion,CL,-35.3333,-72.4167,67.78,60,2,16.2,clear sky
233,Saint George,US,37.1041,-113.5841,61.27,17,0,1.99,clear sky
234,Faanui,PF,-16.4833,-151.75,81.68,72,13,19.51,few clouds
235,Salinopolis,BR,-0.6136,-47.3561,77.83,87,100,11.05,overcast clouds
236,Prince Rupert,CA,54.3161,-130.3201,46.49,61,0,17.27,clear sky
237,Palana,RU,59.1167,159.9667,5.54,86,100,7.94,overcast clouds
238,Northampton,US,40.8754,-75.2499,23.95,59,6,3.0,clear sky
239,Przasnysz,PL,53.0191,20.8803,37.67,87,70,14.23,broken clouds
240,Sitka,US,57.0531,-135.33,42.69,75,100,20.71,moderate rain
241,Eirunepe,BR,-6.6603,-69.8736,77.68,94,66,3.47,light rain
242,Hobart,AU,-42.8794,147.3294,64.02,72,75,1.01,broken clouds
243,Mahon,ES,39.8885,4.2658,46.96,93,0,2.3,clear sky
244,Golfito,CR,8.639,-83.166,82.81,67,29,5.55,scattered clouds
245,Beringovskiy,RU,63.05,179.3167,-10.55,93,54,13.78,broken clouds
246,Avigliano,IT,40.7329,15.72,43.66,79,100,2.28,overcast clouds
247,Saint-Augustin,CA,51.226,-58.6502,3.78,94,100,18.1,light snow
248,Half Moon Bay,US,37.4636,-122.4286,67.5,47,0,6.91,clear sky
249,Rio Cuarto,AR,-33.1307,-64.3499,67.77,56,75,12.66,light rain
250,Altay,CN,47.8667,88.1167,6.96,49,0,9.8,clear sky
251,Sorong,ID,-0.8833,131.25,80.55,82,100,12.77,overcast clouds
252,Geraldton,AU,-28.7667,114.6,73.81,88,100,10.36,overcast clouds
253,Tsalka,GE,41.5946,44.0891,11.59,74,38,7.74,scattered clouds
254,Urumqi,CN,43.801,87.6005,-4.85,92,72,2.24,mist
255,Kuching,MY,1.55,110.3333,77.22,88,20,2.3,few clouds
256,Thinadhoo,MV,0.5333,72.9333,81.9,73,38,13.35,scattered clouds
257,Nouadhibou,MR,20.931,-17.0347,66.18,94,0,14.97,clear sky
258,Coolum Beach,AU,-26.5333,153.1,71.11,85,95,1.99,overcast clouds
259,Yabelo,ET,4.8833,38.0833,66.96,23,100,5.46,overcast clouds
260,Berlevag,NO,70.8578,29.0864,24.08,83,59,27.4,broken clouds
261,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,49,0,18.41,clear sky
262,Kertosono,ID,-7.5833,112.1,73.56,90,62,3.47,broken clouds
263,Narrabri,AU,-30.3167,149.7833,68.52,69,63,5.01,broken clouds
