City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
663,La Libertad,EC,82.06,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
666,Orange,US,77.67,few clouds,33.7,-117.7675,Meadows
680,San Carlos Del Zulia,VE,84.4,broken clouds,9.0,-71.9135,Hotel El Manantial
684,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
685,Guaruja,BR,86.07,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
691,Ipixuna,BR,82.35,light rain,-1.7625,-48.8043,Casa da Oscarina
700,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
702,Kavaratti,IN,78.08,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
711,Lakatoro,VU,83.26,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
713,Hatillo,PR,76.89,light rain,18.4863,-66.8254,El Buen Hotel
